id,y_true,y_pred,score,model_name,ticket,text,keyword,location,error_type,model_confidence_in_wrong_prediction,exact_group_id,exact_group_size,exact_label_conflict,exact_cross_split,canonical_group_id,canonical_group_size,canonical_label_conflict,canonical_cross_split
546,0,1,0.8718948492976076,lr_c1_balanced_default,ticket_5_data_quality,Two Jewish Terrorists Charged In Historic-Church Arson | The Ugly Truth http://t.co/iEksNFSbY7 http://t.co/VWCf3slkrW,arson,,false_positive,0.8718948492976076,,,,,,,,
4292,0,1,0.8582534933066726,lr_c1_balanced_default,ticket_5_data_quality,Drowning in Actavis suicide,drowning,Pittsburgh ,false_positive,0.8582534933066726,,,,,,,,
3197,0,1,0.8404932072932291,lr_c1_balanced_default,ticket_5_data_quality,What's missing in the #asae15 exhibitor emails? Value. http://t.co/r8cepRqxlE #assnchat,deluge,Raleigh (Garner/Cleveland) NC,false_positive,0.8404932072932291,,,,,,,,
7754,0,1,0.8404087001767467,lr_c1_balanced_default,ticket_5_data_quality,Maid charged with stealing Dh30000 from police officer sponsor http://t.co/y35qtVDSOH | https://t.co/qhUJAjCTR5,police,,false_positive,0.8404087001767467,,,,,,,,
5126,0,1,0.8091784547391803,lr_c1_balanced_default,ticket_5_data_quality,@ChrisDanielShow Nearly-Fatal Pee in San Francisco http://t.co/1tvlFrhm1m,fatal,"Fresno, CA",false_positive,0.8091784547391803,,,,,,,,
6211,0,1,0.7940550756778434,lr_c1_balanced_default,ticket_5_data_quality,Governor allows parole for California school bus hijacker | Fresno Linked Local Network http://t.co/Sww0QsMxVM http://t.co/bcdP4gKokA,hijacker,,false_positive,0.7940550756778434,,,,,,,,
6914,0,1,0.7927498064148725,lr_c1_balanced_default,ticket_5_data_quality,@defendbutera i look like a mass murderer in it,mass%20murderer,,false_positive,0.7927498064148725,,,,,,,,
9552,0,1,0.7829888344608512,lr_c1_balanced_default,ticket_5_data_quality,"Generational Û÷British schismÛª over privacy threat of drones http://t.co/dqtMTPqmBR
  #drones #privacy http://t.co/dMsnYPtscY",threat,"London, UK",false_positive,0.7829888344608512,,,,,,,,
7061,0,1,0.7782407195768767,lr_c1_balanced_default,ticket_5_data_quality,DFR EP016 Monthly Meltdown - On Dnbheaven 2015.08.06 http://t.co/EjKRf8N8A8 #Drum and Bass #heavy #nasty http://t.co/SPHWE6wFI5,meltdown,Oldenburg // London,false_positive,0.7782407195768767,,,,,,,,
10110,0,1,0.7773723599951862,lr_c1_balanced_default,ticket_5_data_quality,A look at state actions a year after Ferguson's upheaval http://t.co/GZEkQWzijq,upheaval,Oregon,false_positive,0.7773723599951862,,,,,canonical_bdbbbd982fa13fe1,3.0,True,True
10124,0,1,0.7773723599951862,lr_c1_balanced_default,ticket_5_data_quality,A look at state actions a year after Ferguson's upheaval http://t.co/TBQsqtmqV4,upheaval,Oregon,false_positive,0.7773723599951862,,,,,canonical_bdbbbd982fa13fe1,3.0,True,True
4043,0,1,0.776691115641486,lr_c1_balanced_default,ticket_5_data_quality,DISASTER AVERTED: Police kill gunman with Û÷hoax deviceÛª atåÊcinema http://t.co/5NG0FzpVdS,disaster,USA ,false_positive,0.776691115641486,,,,,,,,
10113,0,1,0.7696367852455211,lr_c1_balanced_default,ticket_5_data_quality,A look at state actions a year after FergusonÛªs upheaval  http://t.co/G5ZsRU0zVQ,upheaval,,false_positive,0.7696367852455211,,,,,,,,
5760,0,1,0.7682867900425683,lr_c1_balanced_default,ticket_5_data_quality,Tales of the #trees #deep water loving #Lake Tahoe. And no #forest fires https://t.co/xuhMJ098Lq,forest%20fires,Tips on my blog at,false_positive,0.7682867900425683,,,,,,,,
3068,0,1,0.7585101994321006,lr_c1_balanced_default,ticket_5_data_quality,Hear @DrFriedenCDC talk on how to avoid thousands of resistant infections/deaths in next 5 yrs: http://t.co/niV8x5Tbe0 #AdiosSuperBacterias,deaths,"Atlanta, GA",false_positive,0.7585101994321006,,,,,,,,
198,0,1,0.7569553703581916,lr_c1_balanced_default,ticket_5_data_quality,@crobscarla your lifetime odds of dying from an airplane accident are 1 in 8015.,airplane%20accident,"Salt Lake City, Utah",false_positive,0.7569553703581916,,,,,,,,
