id,text,keyword,location,y_true,y_pred,score,model_name,ticket
86,"Progressive greetings!

In about a month students would have set their pens ablaze in The Torch Publications'... http://t.co/9FxPiXQuJt",ablaze,Inang Pamantasan,0,1,0.6846882719499409,logreg_class_weight_balanced,ticket_1_baseline
110,'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,accident,Norf Carolina,0,1,0.5472380862160593,logreg_class_weight_balanced,ticket_1_baseline
132,???? it was an accident http://t.co/Oia5fxi4gM,accident,,0,1,0.7812967398773896,logreg_class_weight_balanced,ticket_1_baseline
174,Aftershock: Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http http://t.co/WZTz4hgMVq,aftershock,Baker City Oregon,0,1,0.5554600222819477,logreg_class_weight_balanced,ticket_1_baseline
241,My phone looks like it was in a car ship airplane accident. Terrible,airplane%20accident,Fashion Heaven. IG: TMId_,0,1,0.6580515760496791,logreg_class_weight_balanced,ticket_1_baseline
353,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/pB2N77nSKz,annihilation,Subconscious LA,0,1,0.5263611917440594,logreg_class_weight_balanced,ticket_1_baseline
386,Please sign &amp; RT to save #SaltRiverWildHorses http://t.co/IKUAYUSEqt http://t.co/BQBHUyfmE9,annihilation,,0,1,0.7074572821210403,logreg_class_weight_balanced,ticket_1_baseline
402,Apocalypse please,apocalypse,Texas,0,1,0.5132347145887173,logreg_class_weight_balanced,ticket_1_baseline
420,candylit: Imagine sarumi in a zombie apocalypse Fighting back to back Heart to heart conversations over the... http://t.co/xIZkjffF29,apocalypse,"Buenos Aires, Argentina",0,1,0.7006117787359211,logreg_class_weight_balanced,ticket_1_baseline
489,9 Charts Prove Financial Crisis Part 2 Has BEGUN!: The Financial Armageddon Economic Collapse Blog tracks tren... http://t.co/vHCXTvCINr,armageddon,,0,1,0.5275614564595043,logreg_class_weight_balanced,ticket_1_baseline
512,Vote for #Directioners vs #Queens in the 5th round of the @Billboard #FanArmyFaceOff http://t.co/Kgtxnnbj7y,army,,0,1,0.5621944469537601,logreg_class_weight_balanced,ticket_1_baseline
563,Owner of Chicago-Area Gay Bar Admits to Arson Scheme http://t.co/MYhOHvrHiL #LGBT | https://t.co/TM5HTHFDO0,arson,"Milwaukee, WI",0,1,0.5268419136066066,logreg_class_weight_balanced,ticket_1_baseline
574,Mourning notices for stabbing arson victims stir Û÷politics of griefÛª in Israel: Posters for Shira Banki and A... http://t.co/3GZ5zQQTHe,arson,Jerusalem,0,1,0.720584666442471,logreg_class_weight_balanced,ticket_1_baseline
851,RT alisonannyoung: EXCLUSIVE: FedEx no longer to transport research specimens of bioterror pathogens in wake of anthrax lab mishaps Û_,bioterror,United States,0,1,0.6584566848851161,logreg_class_weight_balanced,ticket_1_baseline
853,#world FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps  http://t.co/5zDbTktwW7,bioterror,,0,1,0.6803177095945782,logreg_class_weight_balanced,ticket_1_baseline
884,Firepower in the lab [electronic resource] : automation in the fight against infectious diseases and bioterrorism /Û_ http://t.co/KvpbybglSR,bioterrorism,,0,1,0.6840427850022717,logreg_class_weight_balanced,ticket_1_baseline
957,looks like a year of writing and computers is ahead. http://t.co/CyXbrZXWq4,blaze,,0,1,0.5086264774620294,logreg_class_weight_balanced,ticket_1_baseline
971,The mixtape is coming i promise. We goin in right now http://t.co/uUNGRqoUgn,blaze,Mo.City,0,1,0.570254607697255,logreg_class_weight_balanced,ticket_1_baseline
1136,Poor Jack ??,blight,London,0,1,0.511749515635994,logreg_class_weight_balanced,ticket_1_baseline
1208,Lizard Wizard in a Blizzard #LWB http://t.co/MgR809yc5a,blizzard,,0,1,0.7702891426694223,logreg_class_weight_balanced,ticket_1_baseline
1289,'A Nightmare On Elm Street' Is Getting Remade... Again - http://t.co/HvwkJQXXyT,bloody,,0,1,0.6551354556838407,logreg_class_weight_balanced,ticket_1_baseline
1715,Leicester_Merc : ICYMI - #Ashes 2015: Australia collapse at Trent Bridge - how Twitter reaÛ_ http://t.co/HqeWMREysO) http://t.co/y4y8fclJED,bridge%20collapse,Leicester,0,1,0.7565069664801393,logreg_class_weight_balanced,ticket_1_baseline
