id,y_true,y_pred_baseline,y_pred_probe,probe,category
117,0,1,0,tfidf_word_bigrams,fixed_fp
244,1,1,0,tfidf_word_bigrams,new_fn
767,0,0,1,tfidf_word_bigrams,new_fp
915,1,0,1,tfidf_word_bigrams,fixed_fn
939,0,0,1,tfidf_word_bigrams,new_fp
1217,0,0,1,tfidf_word_bigrams,new_fp
1324,1,0,1,tfidf_word_bigrams,fixed_fn
1599,0,1,0,tfidf_word_bigrams,fixed_fp
1983,1,1,0,tfidf_word_bigrams,new_fn
2257,0,0,1,tfidf_word_bigrams,new_fp
2334,0,0,1,tfidf_word_bigrams,new_fp
2336,0,1,0,tfidf_word_bigrams,fixed_fp
2520,0,0,1,tfidf_word_bigrams,new_fp
2822,1,1,0,tfidf_word_bigrams,new_fn
3419,1,1,0,tfidf_word_bigrams,new_fn
3566,0,0,1,tfidf_word_bigrams,new_fp
3648,0,0,1,tfidf_word_bigrams,new_fp
3833,0,0,1,tfidf_word_bigrams,new_fp
3864,0,0,1,tfidf_word_bigrams,new_fp
4029,0,1,0,tfidf_word_bigrams,fixed_fp
4078,0,0,1,tfidf_word_bigrams,new_fp
4293,0,0,1,tfidf_word_bigrams,new_fp
4397,1,1,0,tfidf_word_bigrams,new_fn
4521,0,0,1,tfidf_word_bigrams,new_fp
4747,1,1,0,tfidf_word_bigrams,new_fn
5083,1,0,1,tfidf_word_bigrams,fixed_fn
5202,1,1,0,tfidf_word_bigrams,new_fn
5336,1,1,0,tfidf_word_bigrams,new_fn
5342,0,1,0,tfidf_word_bigrams,fixed_fp
5381,1,1,0,tfidf_word_bigrams,new_fn
5449,0,0,1,tfidf_word_bigrams,new_fp
5694,1,1,0,tfidf_word_bigrams,new_fn
5744,1,1,0,tfidf_word_bigrams,new_fn
5837,0,0,1,tfidf_word_bigrams,new_fp
5959,0,0,1,tfidf_word_bigrams,new_fp
5980,0,0,1,tfidf_word_bigrams,new_fp
6032,1,0,1,tfidf_word_bigrams,fixed_fn
6400,1,1,0,tfidf_word_bigrams,new_fn
6561,0,0,1,tfidf_word_bigrams,new_fp
6725,0,0,1,tfidf_word_bigrams,new_fp
7600,0,0,1,tfidf_word_bigrams,new_fp
7827,0,0,1,tfidf_word_bigrams,new_fp
7908,0,0,1,tfidf_word_bigrams,new_fp
8129,1,0,1,tfidf_word_bigrams,fixed_fn
8250,1,1,0,tfidf_word_bigrams,new_fn
8283,1,1,0,tfidf_word_bigrams,new_fn
8627,0,0,1,tfidf_word_bigrams,new_fp
8697,0,0,1,tfidf_word_bigrams,new_fp
8957,1,1,0,tfidf_word_bigrams,new_fn
9005,0,0,1,tfidf_word_bigrams,new_fp
9206,1,1,0,tfidf_word_bigrams,new_fn
9231,1,1,0,tfidf_word_bigrams,new_fn
9654,0,1,0,tfidf_word_bigrams,fixed_fp
10031,0,0,1,tfidf_word_bigrams,new_fp
10040,1,0,1,tfidf_word_bigrams,fixed_fn
10351,0,0,1,tfidf_word_bigrams,new_fp
10414,1,0,1,tfidf_word_bigrams,fixed_fn
10576,0,0,1,tfidf_word_bigrams,new_fp
10584,0,1,0,tfidf_word_bigrams,fixed_fp
10650,0,1,0,tfidf_word_bigrams,fixed_fp
59,0,0,1,c_0_5,new_fp
117,0,1,0,c_0_5,fixed_fp
131,1,1,0,c_0_5,new_fn
133,1,1,0,c_0_5,new_fn
244,1,1,0,c_0_5,new_fn
902,1,1,0,c_0_5,new_fn
1599,0,1,0,c_0_5,fixed_fp
1945,1,1,0,c_0_5,new_fn
1983,1,1,0,c_0_5,new_fn
2336,0,1,0,c_0_5,fixed_fp
2520,0,0,1,c_0_5,new_fp
2822,1,1,0,c_0_5,new_fn
3345,0,1,0,c_0_5,fixed_fp
3419,1,1,0,c_0_5,new_fn
3566,0,0,1,c_0_5,new_fp
4029,0,1,0,c_0_5,fixed_fp
4041,0,1,0,c_0_5,fixed_fp
4127,0,1,0,c_0_5,fixed_fp
4382,1,1,0,c_0_5,new_fn
4397,1,1,0,c_0_5,new_fn
4575,1,1,0,c_0_5,new_fn
4736,1,1,0,c_0_5,new_fn
4747,1,1,0,c_0_5,new_fn
5202,1,1,0,c_0_5,new_fn
5336,1,1,0,c_0_5,new_fn
5371,1,1,0,c_0_5,new_fn
5694,1,1,0,c_0_5,new_fn
5744,1,1,0,c_0_5,new_fn
6299,1,1,0,c_0_5,new_fn
6400,1,1,0,c_0_5,new_fn
6642,1,1,0,c_0_5,new_fn
7600,0,0,1,c_0_5,new_fp
8061,0,0,1,c_0_5,new_fp
8250,1,1,0,c_0_5,new_fn
8283,1,1,0,c_0_5,new_fn
8627,0,0,1,c_0_5,new_fp
8957,1,1,0,c_0_5,new_fn
9206,1,1,0,c_0_5,new_fn
9231,1,1,0,c_0_5,new_fn
9404,1,1,0,c_0_5,new_fn
10371,1,1,0,c_0_5,new_fn
10414,1,0,1,c_0_5,fixed_fn
10650,0,1,0,c_0_5,fixed_fp
59,0,0,1,balanced_classes,new_fp
552,0,0,1,balanced_classes,new_fp
556,1,0,1,balanced_classes,fixed_fn
577,0,0,1,balanced_classes,new_fp
687,0,0,1,balanced_classes,new_fp
767,0,0,1,balanced_classes,new_fp
907,1,0,1,balanced_classes,fixed_fn
915,1,0,1,balanced_classes,fixed_fn
996,0,0,1,balanced_classes,new_fp
1217,0,0,1,balanced_classes,new_fp
1611,0,0,1,balanced_classes,new_fp
1645,1,0,1,balanced_classes,fixed_fn
1796,1,0,1,balanced_classes,fixed_fn
1956,0,0,1,balanced_classes,new_fp
1973,1,0,1,balanced_classes,fixed_fn
1992,1,0,1,balanced_classes,fixed_fn
2039,1,0,1,balanced_classes,fixed_fn
2068,1,0,1,balanced_classes,fixed_fn
2191,1,0,1,balanced_classes,fixed_fn
2210,0,0,1,balanced_classes,new_fp
2235,0,0,1,balanced_classes,new_fp
2334,0,0,1,balanced_classes,new_fp
2520,0,0,1,balanced_classes,new_fp
2545,1,0,1,balanced_classes,fixed_fn
2884,1,0,1,balanced_classes,fixed_fn
2900,1,0,1,balanced_classes,fixed_fn
3029,0,0,1,balanced_classes,new_fp
3101,1,0,1,balanced_classes,fixed_fn
3114,1,0,1,balanced_classes,fixed_fn
3322,0,0,1,balanced_classes,new_fp
3329,0,0,1,balanced_classes,new_fp
3410,0,0,1,balanced_classes,new_fp
3450,0,0,1,balanced_classes,new_fp
3506,1,0,1,balanced_classes,fixed_fn
3566,0,0,1,balanced_classes,new_fp
3648,0,0,1,balanced_classes,new_fp
3780,0,0,1,balanced_classes,new_fp
3833,0,0,1,balanced_classes,new_fp
3864,0,0,1,balanced_classes,new_fp
3998,0,0,1,balanced_classes,new_fp
4282,0,0,1,balanced_classes,new_fp
4293,0,0,1,balanced_classes,new_fp
4738,0,0,1,balanced_classes,new_fp
4754,0,0,1,balanced_classes,new_fp
4782,0,0,1,balanced_classes,new_fp
4840,1,0,1,balanced_classes,fixed_fn
4915,1,0,1,balanced_classes,fixed_fn
4969,1,0,1,balanced_classes,fixed_fn
5083,1,0,1,balanced_classes,fixed_fn
5149,0,0,1,balanced_classes,new_fp
5182,0,0,1,balanced_classes,new_fp
5355,0,0,1,balanced_classes,new_fp
5386,1,0,1,balanced_classes,fixed_fn
5449,0,0,1,balanced_classes,new_fp
5634,0,0,1,balanced_classes,new_fp
5827,0,0,1,balanced_classes,new_fp
5959,0,0,1,balanced_classes,new_fp
6023,1,0,1,balanced_classes,fixed_fn
6032,1,0,1,balanced_classes,fixed_fn
6334,0,0,1,balanced_classes,new_fp
6434,1,0,1,balanced_classes,fixed_fn
6515,0,0,1,balanced_classes,new_fp
6561,0,0,1,balanced_classes,new_fp
6764,1,0,1,balanced_classes,fixed_fn
6795,1,0,1,balanced_classes,fixed_fn
6967,1,0,1,balanced_classes,fixed_fn
6994,0,0,1,balanced_classes,new_fp
7332,0,0,1,balanced_classes,new_fp
7600,0,0,1,balanced_classes,new_fp
7908,0,0,1,balanced_classes,new_fp
8023,0,0,1,balanced_classes,new_fp
8061,0,0,1,balanced_classes,new_fp
8129,1,0,1,balanced_classes,fixed_fn
8596,0,0,1,balanced_classes,new_fp
8627,0,0,1,balanced_classes,new_fp
8677,0,0,1,balanced_classes,new_fp
9272,0,0,1,balanced_classes,new_fp
9337,1,0,1,balanced_classes,fixed_fn
9430,1,0,1,balanced_classes,fixed_fn
9435,1,0,1,balanced_classes,fixed_fn
10031,0,0,1,balanced_classes,new_fp
10040,1,0,1,balanced_classes,fixed_fn
10241,0,0,1,balanced_classes,new_fp
10243,0,0,1,balanced_classes,new_fp
10310,1,0,1,balanced_classes,fixed_fn
10351,0,0,1,balanced_classes,new_fp
10414,1,0,1,balanced_classes,fixed_fn
10441,1,0,1,balanced_classes,fixed_fn
10558,0,0,1,balanced_classes,new_fp
10576,0,0,1,balanced_classes,new_fp
10789,0,0,1,balanced_classes,new_fp
