group_type,group_id,group_size,label_conflict,labels_present,cross_split,splits_present,exact_text_variants,member_ids,id,split,target,text,canonical_text
exact,exact_5618f0faa63f8d50,6,True,0;1,True,dev;heldout;train,1,4656;4659;4669;4672;4684;4691,4656,train,0,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i.e. madinah. #prophetmuhammad #islam
exact,exact_5618f0faa63f8d50,6,True,0;1,True,dev;heldout;train,1,4656;4659;4669;4672;4684;4691,4659,train,1,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i.e. madinah. #prophetmuhammad #islam
exact,exact_5618f0faa63f8d50,6,True,0;1,True,dev;heldout;train,1,4656;4659;4669;4672;4684;4691,4669,dev,1,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i.e. madinah. #prophetmuhammad #islam
exact,exact_5618f0faa63f8d50,6,True,0;1,True,dev;heldout;train,1,4656;4659;4669;4672;4684;4691,4672,dev,0,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i.e. madinah. #prophetmuhammad #islam
exact,exact_5618f0faa63f8d50,6,True,0;1,True,dev;heldout;train,1,4656;4659;4669;4672;4684;4691,4684,dev,0,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i.e. madinah. #prophetmuhammad #islam
exact,exact_5618f0faa63f8d50,6,True,0;1,True,dev;heldout;train,1,4656;4659;4669;4672;4684;4691,4691,heldout,0,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i.e. madinah. #prophetmuhammad #islam
exact,exact_5e08ca1455284bcc,6,True,0;1,True,dev;heldout;train,1,6087;6090;6097;6111;6118;6132,6087,train,0,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',the prophet (peace be upon him) said 'save yourself from hellfire even if it is by giving half a date in charity.'
exact,exact_5e08ca1455284bcc,6,True,0;1,True,dev;heldout;train,1,6087;6090;6097;6111;6118;6132,6090,train,0,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',the prophet (peace be upon him) said 'save yourself from hellfire even if it is by giving half a date in charity.'
exact,exact_5e08ca1455284bcc,6,True,0;1,True,dev;heldout;train,1,6087;6090;6097;6111;6118;6132,6097,train,1,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',the prophet (peace be upon him) said 'save yourself from hellfire even if it is by giving half a date in charity.'
exact,exact_5e08ca1455284bcc,6,True,0;1,True,dev;heldout;train,1,6087;6090;6097;6111;6118;6132,6111,dev,0,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',the prophet (peace be upon him) said 'save yourself from hellfire even if it is by giving half a date in charity.'
exact,exact_5e08ca1455284bcc,6,True,0;1,True,dev;heldout;train,1,6087;6090;6097;6111;6118;6132,6118,train,0,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',the prophet (peace be upon him) said 'save yourself from hellfire even if it is by giving half a date in charity.'
exact,exact_5e08ca1455284bcc,6,True,0;1,True,dev;heldout;train,1,6087;6090;6097;6111;6118;6132,6132,heldout,1,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',the prophet (peace be upon him) said 'save yourself from hellfire even if it is by giving half a date in charity.'
exact,exact_4cacd9b0143fc7c8,4,True,0;1,True,heldout;train,1,881;898;907;916,881,train,1,To fight bioterrorism sir.,to fight bioterrorism sir.
exact,exact_4cacd9b0143fc7c8,4,True,0;1,True,heldout;train,1,881;898;907;916,898,train,0,To fight bioterrorism sir.,to fight bioterrorism sir.
exact,exact_4cacd9b0143fc7c8,4,True,0;1,True,heldout;train,1,881;898;907;916,907,heldout,1,To fight bioterrorism sir.,to fight bioterrorism sir.
exact,exact_4cacd9b0143fc7c8,4,True,0;1,True,heldout;train,1,881;898;907;916,916,train,0,To fight bioterrorism sir.,to fight bioterrorism sir.
exact,exact_40c6988f69656751,3,True,0;1,True,heldout;train,1,6088;6112;6125,6088,train,0,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,hellfire is surrounded by desires so be careful and donûat let your desires control you! #afterlife
exact,exact_40c6988f69656751,3,True,0;1,True,heldout;train,1,6088;6112;6125,6112,heldout,1,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,hellfire is surrounded by desires so be careful and donûat let your desires control you! #afterlife
exact,exact_40c6988f69656751,3,True,0;1,True,heldout;train,1,6088;6112;6125,6125,train,0,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,hellfire is surrounded by desires so be careful and donûat let your desires control you! #afterlife
