ticket,split,id,case_type,true_label,baseline_pred,baseline_score,candidate_pred,candidate_score,transition_or_disposition,text,why_representative,source_file
1,dev,5282,solver boundary failure,1,1,0.50082569850240655,0,0.49859747803943177,new_error,@CowgirlLawyer We must refuse to become a nation with everyone living in fear of being shot unawares by intoxicated &amp;/or crazy people.,A solver-only probe flips a correct borderline positive into a false negative.,experiments/ticket-1/probes/changes/logreg_solver_liblinear_changes.csv
2,heldout,773,normalization success,0,1,0.53304534720329855,0,0.46067960618170639,fixed_error,GREAT PERFORMANCE CHIP FUEL/GAS SAVER CHEVY TAHOE/BLAZER/AVALANCHE/S-10 http://t.co/iCrZi5TqC5 http://t.co/ONxhKfHn2a,URL placeholdering fixes a baseline false positive.,experiments/ticket-2/heldout/heldout_changes_vs_frozen_baseline.csv
2,heldout,902,normalization failure,1,1,0.50866617501944511,0,0.49935555818714988,new_error,Government Experts Concerned About Possible Bioterrorism Using GM Organisms: Scientists are concerned that the... http://t.co/SuMe5prO0F,URL placeholdering introduces a borderline false negative.,experiments/ticket-2/heldout/heldout_changes_vs_frozen_baseline.csv
3,dev,7,shortcut success,1,0,0.41213821054319688,1,0.66348796732183879,fixed_error,Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,A keyword-only shortcut fixes this positive example.,experiments/ticket-3/dev/changes/keyword_only_changes.csv
3,dev,25,shortcut failure,0,0,0.26532970966842429,1,0.66348796732183879,new_error,Summer is lovely,The same keyword-only score creates a false positive on an unrelated negative.,experiments/ticket-3/dev/changes/keyword_only_changes.csv
3,dev,331,shallow-feature failure,0,0,0.41808760130903411,1,0.52174673930558402,new_error,@stormbeard @steel_lord I seen Judas Priest in 2005 when Rob came back; Scorpions as support. Fucking annihilated the place. Astonishing gig,The richer shallow-feature candidate turns figurative disaster language into a false positive.,experiments/ticket-3/dev/changes/text_plus_selected_shallow_features_changes.csv
4,heldout,556,recall success,1,0,0.46432275259636718,1,0.52971674208268082,fixed_error,Another fake hate crime Lesbians burn their own house down. What else Is new :http://t.co/66oBQmxImb,Class weighting fixes a baseline false negative.,experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv
4,heldout,59,precision failure,0,0,0.45054055780841479,1,0.50445700599001586,new_error,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,"Class weighting creates a false positive, illustrating the precision cost.",experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv
4,heldout,767,verified score conflict,0,0,0.48762300208375459,1,0.54481530957085056,new_error,the fall of leaves from a poplar is as fully ordained as the tumbling of an avalanche - Spurgeon,Machine-generated scores verify a new false positive and supersede stale narrative scores.,experiments/ticket-4/heldout/heldout_changes_vs_frozen_baseline.csv
5,dev,9470,correction-probe success,0,1,0.63304371686154826,0,0.4652778088634294,fixed_error,In #islam saving a person is equal in reward to saving all humans! Islam is the opposite of terrorism!,The correction probe fixes one Ticket 4 error.,experiments/ticket-5/dev/correction_experiment/changes_vs_ticket4.csv
5,dev,4014,correction-probe failure,0,0,0.49650855676972461,1,0.5022090595741443,new_error,My first staining attempt was a disaster https://t.co/buDmKE3nNf,The same correction probe introduces a new false positive.,experiments/ticket-5/dev/correction_experiment/changes_vs_ticket4.csv
5,heldout,5760,validated model error,0,,,1,0.76828679004256828,reject_false_positive,Tales of the #trees #deep water loving #Lake Tahoe. And no #forest fires https://t.co/xuhMJ098Lq,"heldout target=0 and false positive; the tweet explicitly says there are no forest fires, so the negative label is supported.",results/data_quality_audit.csv; predictions/final-heldout-predictions.csv
5,heldout,2619,potential annotation issue,1,,,0,0.22430049386219819,fix,"My iPod crashed..... 
#WeLoveYouLouis 
#MTVHottest One Direction","heldout target=1 and false negative; 'My iPod crashed' is a device failure with fan hashtags, not a disaster; recommend 1->0.",results/data_quality_audit.csv; predictions/final-heldout-predictions.csv
5,heldout,6220,ambiguity,0,,,1,0.64570297272676269,ambiguous,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,heldout target=0; exact heldout ID 6223 has target=1 for the same historical D.B. Cooper image; identical evidence with opposite labels makes the pair unsuitable for automatic correction.,results/data_quality_audit.csv; predictions/final-heldout-predictions.csv
5,heldout,6223,ambiguity,1,,,1,0.64570297272676269,ambiguous,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,heldout target=1; exact heldout ID 6220 has target=0 for the same historical D.B. Cooper image; heldout label is preserved.,results/data_quality_audit.csv; predictions/final-heldout-predictions.csv
5,heldout,10795,validated model error,1,,,0,0.13499957489244291,reject_false_positive,"Israel wrecked my home. Now it wants my land. 
https://t.co/g0r3ZR1nQj","heldout target=1 and false negative; 'Israel wrecked my home. Now it wants my land' plausibly reports real destruction, so reject a mislabel suspicion and attribute the miss to limited context/model weakness.",results/data_quality_audit.csv; predictions/final-heldout-predictions.csv
