id,text,keyword,location,y_true,y_pred,score,model_name,ticket
117,"mom: 'we didn't get home as fast as we wished' 
me: 'why is that?'
mom: 'there was an accident and some truck spilt mayonnaise all over ??????",accident,,0,1,0.5071621935321514,raw_text_tfidf_logistic_regression,ticket_1_baseline
198,@crobscarla your lifetime odds of dying from an airplane accident are 1 in 8015.,airplane%20accident,"Salt Lake City, Utah",0,1,0.7129798247918359,raw_text_tfidf_logistic_regression,ticket_1_baseline
303,Be annihilated for status education mba on behalf of a on easy street careen: eOvm http://t.co/e0pI0c54FF,annihilated,,0,1,0.5894842904017711,raw_text_tfidf_logistic_regression,ticket_1_baseline
472,God's Kingdom (Heavenly Gov't) will rule over all people on the earth after Armageddon.  http://t.co/8HGcBXUkz0  http://t.co/4kopkCyvTt,armageddon,Worldwide,0,1,0.5440637498599186,raw_text_tfidf_logistic_regression,ticket_1_baseline
520,".: .: .: .: .: .: .: .: .: .: .: .: .: .: .: .: .: .: .: .: .: RT DrAyesha4: #IndiaKoMunTorJawabDo

Indian Army kiÛ_ http://t.co/WJLJq3yA4g",army,Pakistan,0,1,0.6021931873603806,raw_text_tfidf_logistic_regression,ticket_1_baseline
546,Two Jewish Terrorists Charged In Historic-Church Arson | The Ugly Truth http://t.co/iEksNFSbY7 http://t.co/VWCf3slkrW,arson,,0,1,0.8466221432129959,raw_text_tfidf_logistic_regression,ticket_1_baseline
773,GREAT PERFORMANCE CHIP FUEL/GAS SAVER CHEVY TAHOE/BLAZER/AVALANCHE/S-10 http://t.co/iCrZi5TqC5 http://t.co/ONxhKfHn2a,avalanche,,0,1,0.5330453472032985,raw_text_tfidf_logistic_regression,ticket_1_baseline
783,.@bigperm28 was drafted by the @Avalanche in 2005 (rd. 4 #124) overall. Played last season in @UtahGrizz. http://t.co/gPGTAfMKt0,avalanche,"505 W. Maple, Suite 100",0,1,0.6744738911081213,raw_text_tfidf_logistic_regression,ticket_1_baseline
868,#BreakingNews http://t.co/gAN14PW9TG FedEx no longer willing to transport research specimens of potential bioterÛ_ http://t.co/5n4hUsewLy,bioterror,Across the Atlantic,0,1,0.6295128114494527,raw_text_tfidf_logistic_regression,ticket_1_baseline
878,Biolab safety concerns grow: FedEx stops transporting certain specimens. Research facilities 'dumbfounded' by action. http://t.co/RUjV4VPnBV,bioterror,"Washington, D.C., area",0,1,0.5616620290071173,raw_text_tfidf_logistic_regression,ticket_1_baseline
936,See a virtual tour of one of our listings on 547 Fir St Cannon Beach OR listed by Dorrie Caruana. http://t.co/nF46PAYTvw,blaze,,0,1,0.5197233362064878,raw_text_tfidf_logistic_regression,ticket_1_baseline
1272,@Anthxvy runs in the blood,blood,"Ewa Beach, HI",0,1,0.5110594997053642,raw_text_tfidf_logistic_regression,ticket_1_baseline
1488,The Body Bags has a show on 08/07/2015 at 07:30 PM @ Tremont Music Hall in Charlotte NC http://t.co/FpKiqbus9r #concert,body%20bags,Charlotte NC,0,1,0.5347259516004411,raw_text_tfidf_logistic_regression,ticket_1_baseline
1599,@QPR1980 @Rorington95 Nowt to do with money. Fergie bombed out the big drinkers at United within years of taking over while Wenger,bombed,,0,1,0.5015644805229147,raw_text_tfidf_logistic_regression,ticket_1_baseline
1671,A Marshall Plan for the United States by Dambisa Moyo via @ProSyn #oped http://t.co/GnPStnvi5G via @po_st,bridge%20collapse,VitÌ_ria (ES),0,1,0.5406824803706612,raw_text_tfidf_logistic_regression,ticket_1_baseline
1719,A Marshall Plan for the United States by Dambisa Moyo via @ProSyn #oped http://t.co/l5g2zJ3kgG via @po_st,bridge%20collapse,,0,1,0.5406824803706612,raw_text_tfidf_logistic_regression,ticket_1_baseline
1737,? High Skies - Burning Buildings ? http://t.co/uVq41i3Kx2 #nowplaying,buildings%20burning,San Francisco,0,1,0.5472241654582184,raw_text_tfidf_logistic_regression,ticket_1_baseline
1766,saving babies from burning buildings soaking cake in a shit tonne of alcohol mat is a man after my own heart ?? #GBBO,buildings%20burning,"Leeds, England",0,1,0.5719730473203777,raw_text_tfidf_logistic_regression,ticket_1_baseline
2134,#spark #song Ultimate #preparedness library: http://t.co/VsGqoLr32g Prepare Yourself For Any Catastrophe. Over http://t.co/p7UhcB13Qx,catastrophe,,0,1,0.567920166187516,raw_text_tfidf_logistic_regression,ticket_1_baseline
2301,ESN :  Cilla Black died of stroke after fall in Spain: Sir Cliff revealed he was due to visit her in Spain nextÛ_ http://t.co/F7a66dIiYK,cliff%20fall,"Madrid, Comunidad de Madrid",0,1,0.6825991949600962,raw_text_tfidf_logistic_regression,ticket_1_baseline
2329,Timestack' Photos Collapse Entire Sunsets Into Single Mesmerizing Images. http://t.co/Cas8xC2DFE,collapse,"San Jose, California",0,1,0.5295038136780235,raw_text_tfidf_logistic_regression,ticket_1_baseline
2336,SA MP. Steel and ferrochrome industry on verge of collapse. You don't even put that on list of questions to president for oral answer,collapse,"Sandton, South Africa",0,1,0.5345357436564557,raw_text_tfidf_logistic_regression,ticket_1_baseline
2351,åÈMGN-AFRICAå¨ pin:263789F4 åÈ Correction: Tent Collapse Story: Correction: Tent Collapse story åÈ http://t.co/fDJUYvZMrv @wizkidayo,collapse,Worldwide.,0,1,0.5740323549598566,raw_text_tfidf_logistic_regression,ticket_1_baseline
2844,"Some drugs and alcohol in Jackson Vroman house.

http://t.co/5OQhQ8QUQV",cyclone,Vilnius,0,1,0.6585679107794374,raw_text_tfidf_logistic_regression,ticket_1_baseline
2852,Cyclone by Double G would be the cherry on top to this outfit! #OOTD #DoubleGhats http://t.co/JSuHuPz6Vp http://t.co/N5vrFFRbo3,cyclone,Made in America,0,1,0.5091859187190805,raw_text_tfidf_logistic_regression,ticket_1_baseline
2872,'Mages of Fairy Tail.. Specialize in property damage!' - Natsu Dragneel,damage,Indonesia,0,1,0.6639403213541583,raw_text_tfidf_logistic_regression,ticket_1_baseline
3044,Afghan peace talks in doubt after Mullah Omar's death - Financial Times | #Mullah,death,Carry On Jutta!!!,0,1,0.5806455019962339,raw_text_tfidf_logistic_regression,ticket_1_baseline
3068,Hear @DrFriedenCDC talk on how to avoid thousands of resistant infections/deaths in next 5 yrs: http://t.co/niV8x5Tbe0 #AdiosSuperBacterias,deaths,"Atlanta, GA",0,1,0.7195414633864544,raw_text_tfidf_logistic_regression,ticket_1_baseline
3070,Irony just died a thousand deaths! ???? http://t.co/dBU30ObDxz,deaths,Planet Earth,0,1,0.5909968916899618,raw_text_tfidf_logistic_regression,ticket_1_baseline
3197,What's missing in the #asae15 exhibitor emails? Value. http://t.co/r8cepRqxlE #assnchat,deluge,Raleigh (Garner/Cleveland) NC,0,1,0.8126518725641098,raw_text_tfidf_logistic_regression,ticket_1_baseline
3341,'Dangerous' property in downtown Phoenix demolished  http://t.co/hiBDw7d7ja,demolished,"Medford, Oregon",0,1,0.6007614135400632,raw_text_tfidf_logistic_regression,ticket_1_baseline
3345,5000 year old ring fort to be demolished http://t.co/1PxpoqKTjo,demolished,Kilkenny,0,1,0.5014398370788119,raw_text_tfidf_logistic_regression,ticket_1_baseline
3389,@samajp32 really needs to tone it down some in the weight room. RT @SoonerSportsTV: Demolition (cont) http://t.co/2o7Eva1cOe,demolition,"ÌÏT: 36.142163,-95.979189",0,1,0.5274071550645296,raw_text_tfidf_logistic_regression,ticket_1_baseline
3433,Various issues fail to derail homes bid http://t.co/zhsLl7swBh,derail,#MadeInNorthumberland,0,1,0.6578468721711112,raw_text_tfidf_logistic_regression,ticket_1_baseline
3481,Oh wait I expected to go a totally different route in LS that was derailed by another barely passing grade in a required course. Super.,derailed,,0,1,0.5822400081522568,raw_text_tfidf_logistic_regression,ticket_1_baseline
3756,Russian authorities to take account of petition against destruction of sanctioned food: Vladimir Putin's press... http://t.co/QbMcSJaVt0,destruction,New York NYC,0,1,0.5213566500765267,raw_text_tfidf_logistic_regression,ticket_1_baseline
3788,@Bonn1eGreer The Angel of History propelled into the future by the winds of progress leaves in its wake piles of death and destruction. WB,destruction,London,0,1,0.6330215005000125,raw_text_tfidf_logistic_regression,ticket_1_baseline
3997,Currently Blasting #Benediction - #SanelessTheory -on Metal Devastation Radio-  http://t.co/siGeeQ42cZ,devastation,Jackson TN,0,1,0.5941488019688891,raw_text_tfidf_logistic_regression,ticket_1_baseline
4003,I'm a disaster?? https://t.co/VCV73BUaCZ,disaster,Portoviejo-Manabi-Ecuador,0,1,0.6778952503407988,raw_text_tfidf_logistic_regression,ticket_1_baseline
4029,I'm setting myself up for disaster,disaster,,0,1,0.519370717520345,raw_text_tfidf_logistic_regression,ticket_1_baseline
