asset,asset_type,title,split,comparison_baseline,source_artifacts,notes
report_assets/tables/table_01_dataset_split_statistics.csv,table_source_csv,Dataset and Fixed Split Statistics,mixed/explicit by row,Ticket 1 frozen baseline where applicable,data/train.csv; starter/data/split_indices.json,"Counts are tweets; target-1 rate is a fraction in [0,1]. The split is fixed and stratified."
report_assets/tables/table_01_dataset_split_statistics.tex,report_ready_latex_table,Dataset and Fixed Split Statistics,mixed/explicit by row,Ticket 1 frozen baseline where applicable,data/train.csv; starter/data/split_indices.json,"Counts are tweets; target-1 rate is a fraction in [0,1]. The split is fixed and stratified."
report_assets/tables/table_02_baseline_reference_comparison.csv,table_source_csv,Baseline Floor and Assignment-Reference Comparison,mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/step-4-baselines/results/dev_metrics.csv; starter/configs/project_contract.json; experiments/ticket-1/heldout/primary_contract_comparison.json,"F1 is unitless in [0,1]. The assignment reference tolerance is 0.001; the frozen held-out result does not match it."
report_assets/tables/table_02_baseline_reference_comparison.tex,report_ready_latex_table,Baseline Floor and Assignment-Reference Comparison,mixed/explicit by row,Ticket 1 frozen baseline where applicable,experiments/step-4-baselines/results/dev_metrics.csv; starter/configs/project_contract.json; experiments/ticket-1/heldout/primary_contract_comparison.json,"F1 is unitless in [0,1]. The assignment reference tolerance is 0.001; the frozen held-out result does not match it."
report_assets/tables/table_03_five_ticket_summary.csv,table_source_csv,Project-Wide Results Across Five Tickets,mixed/explicit by row,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Metrics are recomputed from archived predictions. Transition counts are held-out changes relative to Ticket 1; counts are tweets.
report_assets/tables/table_03_five_ticket_summary.tex,report_ready_latex_table,Project-Wide Results Across Five Tickets,mixed/explicit by row,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Metrics are recomputed from archived predictions. Transition counts are held-out changes relative to Ticket 1; counts are tweets.
report_assets/tables/table_04_dev_metric_comparison.csv,table_source_csv,Selected Dev Metrics by Ticket,dev,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,"Precision, recall, F1, and accuracy are unitless in [0,1]; confusion entries are tweet counts. Selection used dev evidence."
report_assets/tables/table_04_dev_metric_comparison.tex,report_ready_latex_table,Selected Dev Metrics by Ticket,dev,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,"Precision, recall, F1, and accuracy are unitless in [0,1]; confusion entries are tweet counts. Selection used dev evidence."
report_assets/tables/table_05_heldout_metric_comparison.csv,table_source_csv,Frozen Held-Out Metrics by Ticket,heldout,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Metrics are descriptive held-out results after dev-only freezing; they were not used to reopen selection.
report_assets/tables/table_05_heldout_metric_comparison.tex,report_ready_latex_table,Frozen Held-Out Metrics by Ticket,heldout,Ticket 1 frozen baseline where applicable,configs/frozen_decisions.json; results/summary.csv; experiments/step-4-baselines/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-2/dev/predictions/normalize_urls_placeholder_dev_predictions.csv; experiments/ticket-3/dev/predictions/raw_text_tfidf_logistic_regression_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; experiments/ticket-4/dev/predictions/lr_c1_balanced_default_dev_predictions.csv; predictions/heldout_predictions.csv; predictions/ticket-2-heldout-predictions.csv; predictions/ticket-3-heldout-predictions.csv; predictions/ticket-4-heldout-predictions.csv; predictions/ticket-5-heldout-predictions.csv,Metrics are descriptive held-out results after dev-only freezing; they were not used to reopen selection.
