id,text,keyword,location,y_true,baseline_y_pred,candidate_y_pred,baseline_score,candidate_score,transition,baseline_correct,candidate_correct,outcome
59,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,ablaze,Live On Webcam,0,0,1,0.4505405578084148,0.5044570059900159,0->1,True,False,new_error
552,Add Familia to the arson squad.,arson,"Charlotte, NC",0,0,1,0.4550892391710658,0.5148545649057654,0->1,True,False,new_error
556,Another fake hate crime Lesbians burn their own house down. What else Is new :http://t.co/66oBQmxImb,arson,Our Empire State,1,0,1,0.4643227525963672,0.5297167420826808,0->1,False,True,fixed_error
577,Owner of Chicago-Area Gay Bar Admits to Arson Scheme http://t.co/0TSlQjOKvh via @theadvocatemag #LGBT,arson,"Los Angeles, CA",0,0,1,0.4789034796764736,0.5361865082274854,0->1,True,False,new_error
687,Heart disease prevention: What about secondhand smoke? http://t.co/YdgMGBrYL2,attack,,0,0,1,0.4817944131622365,0.5441532302078811,0->1,True,False,new_error
767,the fall of leaves from a poplar is as fully ordained as the tumbling of an avalanche - Spurgeon,avalanche,"New York, NY",0,0,1,0.4876230020837546,0.5448153095708506,0->1,True,False,new_error
907,To fight bioterrorism sir.,bioterrorism,,1,0,1,0.4608138412388644,0.5303813277327551,0->1,False,True,fixed_error
915,@HowardU If 90BLKs&amp;8WHTs colluded 2 take WHT F @USAgov AUTH Hostage&amp;2 make her look BLK w/Bioterrorism&amp;use her lgl/org IDis ID still hers?,bioterrorism,,1,0,1,0.4852232477128455,0.5540462486617578,0->1,False,True,fixed_error
996,SHOUOUT TO @kasad1lla CAUSE HER VOCALS ARE BLAZING HOT LIKE THE WEATHER SHES IN,blazing,,0,0,1,0.4746033571172187,0.5360822614098689,0->1,True,False,new_error
1217,First Time Playing Hearthstone on PC Thoughts http://t.co/aBoLxMH1vy,blizzard,,0,0,1,0.4472509164850579,0.5021256993583162,0->1,True,False,new_error
1611,Ladies here's how to recover from a #date you totally BOMBED... according to men http://t.co/c5GGSZUGw1 http://t.co/2PiMg9BIcE,bombed,,0,0,1,0.4417098507767643,0.5013434647807682,0->1,True,False,new_error
1645,@NBCNews Yea bombing #pearlharbor not so good of an idea!,bombing,,1,0,1,0.4736448907616567,0.5311091786905414,0->1,False,True,fixed_error
1796,shootings explosions hand grenades thrown at cars and houses &amp; vehicles and buildings set on fire. It all just baffles me.Is this Sweden?,buildings%20on%20fire,Sweden,1,0,1,0.4871631933858427,0.5481911208007767,0->1,False,True,fixed_error
1956,Ah yes the gays are totally destroying America. I can see buildings burning and meteors crashing into schools wow,burning%20buildings,,0,0,1,0.4876453128310364,0.5510996778335114,0->1,True,False,new_error
1973,@marcoarment Middle of winter in Sydney we have had snow bush fires and 78 degree days in the last week.  Keeps you on your toes for sure.,bush%20fires,"iPhone: -27.499212,153.011072",1,0,1,0.4642366301114441,0.515735016335141,0->1,False,True,fixed_error
1992,Bush Fires are scary....even scarier when you go down and fight them,bush%20fires,somewhere outside,1,0,1,0.4742723702299144,0.5477771212233867,0->1,False,True,fixed_error
2039,@AlcoholAndMetal + do anything to fix that. Of the few people he had every trusted in his life Charles was one of the casualties.,casualties,,1,0,1,0.4897871933460567,0.5438847863342333,0->1,False,True,fixed_error
2068,Another sad ocean casualty-Gray whale population in the Pacific listed as critically #endangered (#drone video) https://t.co/vwz3vZpmfb .,casualty,,1,0,1,0.4878098454160011,0.54706532655509,0->1,False,True,fixed_error
2191,A better look at what this catastrophic rain and flooding has done to ourÛ_ https://t.co/5yRBegzafX,catastrophic,,1,0,1,0.4414137783190674,0.5042590271542924,0->1,False,True,fixed_error
