id,y_true,old_pred,new_pred,category,baseline_model,candidate_model,probe
13,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
17,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
19,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
26,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
28,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
31,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
33,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
57,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
59,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
67,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
71,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
77,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
78,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
79,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
83,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
100,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
107,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
114,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
117,0,0,1,new_fp,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
126,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
131,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
133,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
139,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
161,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
165,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
172,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
175,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
190,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
193,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
197,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
198,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
209,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
212,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
220,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
221,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
225,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
229,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
235,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
244,1,0,1,fixed_fn,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
245,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
248,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
249,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
258,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
264,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
269,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
270,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
276,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
287,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
302,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
303,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
307,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
314,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
332,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
337,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
338,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
347,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
355,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
365,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
372,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
396,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
398,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
404,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
406,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
407,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
412,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
413,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
429,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
447,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
455,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
472,0,1,0,fixed_fp,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
475,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
484,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
486,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
490,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
492,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
498,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
503,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
504,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
506,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
509,1,0,1,fixed_fn,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
516,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
520,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
546,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
552,0,0,1,new_fp,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
556,1,0,1,fixed_fn,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
560,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
568,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
575,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
577,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
592,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
600,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
604,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
606,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
607,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
608,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
613,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
624,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
628,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
630,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
631,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
640,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
641,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
649,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
655,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
656,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
659,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
661,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
669,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
675,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
684,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
687,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
690,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
702,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
713,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
740,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
744,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
745,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
752,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
755,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
763,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
767,0,0,1,new_fp,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
773,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
774,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
775,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
777,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
783,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
790,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
797,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
803,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
808,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
837,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
838,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
841,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
846,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
848,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
852,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
860,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
868,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
871,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
872,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
878,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
895,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
899,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
902,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
907,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
915,1,1,1,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
930,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
934,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
936,0,1,1,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
939,0,1,0,fixed_fp,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
941,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
951,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
956,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
959,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
960,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
968,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
977,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
982,1,0,0,unchanged_error,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
983,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
984,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
987,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
991,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
996,0,0,1,new_fp,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1006,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1009,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1010,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1023,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1024,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1037,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1043,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1044,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1048,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1050,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1062,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1074,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1082,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1128,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1130,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1168,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1170,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1173,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1196,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1201,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
1209,0,0,0,unchanged_correct,tfidf_12_sublinear_lr_liblinear_c1,c_10,c_10
