id,text,keyword,location,y_true,baseline_y_pred,probe_y_pred,baseline_score,probe_score,transition,baseline_correct,probe_correct,outcome
105,BigRigRadio Live Accident Awareness,accident,Australia,1,0,1,0.4670470148930629,0.5211179865655248,0->1,False,True,fixed_error
110,'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,accident,Norf Carolina,0,0,1,0.48667112704891874,0.5472380862160583,0->1,True,False,new_error
353,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/pB2N77nSKz,annihilation,Subconscious LA,0,0,1,0.4715869356907179,0.5263611917440583,0->1,True,False,new_error
390,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/8jxqL8Cv8Z,annihilation,Subconscious LA,1,0,1,0.4715869356907179,0.5263611917440583,0->1,False,True,fixed_error
394,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/SB5R7ShcCJ via @Change,annihilation,"Chandler, AZ",1,0,1,0.4457224626870951,0.5034923501222867,0->1,False,True,fixed_error
402,Apocalypse please,apocalypse,Texas,0,0,1,0.44936457458942214,0.5132347145887164,0->1,True,False,new_error
489,9 Charts Prove Financial Crisis Part 2 Has BEGUN!: The Financial Armageddon Economic Collapse Blog tracks tren... http://t.co/vHCXTvCINr,armageddon,,0,0,1,0.47429777657631894,0.5275614564595039,0->1,True,False,new_error
563,Owner of Chicago-Area Gay Bar Admits to Arson Scheme http://t.co/MYhOHvrHiL #LGBT | https://t.co/TM5HTHFDO0,arson,"Milwaukee, WI",0,0,1,0.4668359857905683,0.5268419136066057,0->1,True,False,new_error
794,Chevrolet : Avalanche LT 2011 lt used 5.3 l v 8 16 v automatic 4 wd pickup truck premium bÛ_ http://t.co/OBkY8Pc89H http://t.co/dXIRnTdSrd,avalanche,,1,0,1,0.447566461446662,0.502735859980577,0->1,False,True,fixed_error
840,FedEx to stop transporting bioterror germs after lab mishaps: FedEx has stopped transporting certain research ... http://t.co/y3dM9uLqxG,bioterror,"Phoenix, AZ",1,0,1,0.49462316125788514,0.5509028087083135,0->1,False,True,fixed_error
890,Bioterrorism public health superbug biolabs epidemics biosurveillance outbreaks | Homeland Security News Wire http://t.co/cvhYGwcBZv,bioterrorism,,1,0,1,0.4902180646328049,0.5469331668235855,0->1,False,True,fixed_error
896,@MeyerBjoern @thelonevirologi @MackayIM of a major American newspaper running a series on all the alleged bioterrorism research going on 2/n,bioterrorism,"Philadelphia, PA",1,0,1,0.4670057547123057,0.5221182651146378,0->1,False,True,fixed_error
957,looks like a year of writing and computers is ahead. http://t.co/CyXbrZXWq4,blaze,,0,0,1,0.44844385078383114,0.5086264774620287,0->1,True,False,new_error
1136,Poor Jack ??,blight,London,0,0,1,0.4528420954688797,0.5117495156359934,0->1,True,False,new_error
1610,http://t.co/wMNOnHxEIr 'Nagasaki has to be forever the last city bombed with a nuclear weapon.' #bannukes,bombed,"Nairobi, Kenya ",1,0,1,0.4973945313563198,0.554917416436821,0->1,False,True,fixed_error
1741,@1acd4900c1424d1 @FoxNews no one is rioting burning down buildings or looting.,buildings%20burning,GO BLUE! HAIL YES!!,1,0,1,0.4865289206344229,0.5492559308834377,0->1,False,True,fixed_error
1863,@thomasvissman22 @KeithyyL Keithyy gettin burned outta the blocks and on social media.... http://t.co/dlkuFtLQnF,burned,"Upper St Clair, PA",0,0,1,0.44318292019360955,0.5007857333695511,0->1,True,False,new_error
1921,Killing Black Babies at Planned Parenthood where's the demonstrations looting of PP burning down the buildings Black Babies Lives Matter,burning%20buildings,"Sacramento, CA",1,0,1,0.49261643985166664,0.550239939094587,0->1,False,True,fixed_error
1969,Where are the protests ? The riots? The burning buildings? How come you don't see any of that crap happening when... http://t.co/1QOchsPYbw,burning%20buildings,Charlotte County Florida,1,0,1,0.44804123312864136,0.5167686386505639,0->1,False,True,fixed_error
2183,@APANO55 @JamesMelville 99% of Scientists donÛªt believe in Catastrophic Man-Made Global Warming only the deluded do.,catastrophic, Bouvet Island,1,0,1,0.44777908341800016,0.5038502742899745,0->1,False,True,fixed_error
2231,@pjcoyle ... need to be included in emergency planning for chemical plants. See also http://t.co/OamqqBNIce,chemical%20emergency,"Tyler, TX",0,0,1,0.4945981610135117,0.5504560949822642,0->1,True,False,new_error
2463,I scored 111020 points in PUNCH QUEST stopped when a squeaky bat collided into my skull. http://t.co/aEtgbxm1pL,collided,,1,0,1,0.45239983520888133,0.5114386048660897,0->1,False,True,fixed_error
2566,Deliver Value: A Cash Source Crash Course http://t.co/st5fGBLsYe #course http://t.co/0uK0H9hOzn,crash,,1,0,1,0.45257725120790204,0.505208344892323,0->1,False,True,fixed_error
2575,Crash and burn ?? https://t.co/Jq2iB1Ob1X,crash,,1,0,1,0.43978757784794875,0.5023664270177838,0->1,False,True,fixed_error
3026,@Allahsfinest12 ...death to muslims,death,"Sylacauga, Alabama",1,0,1,0.4817204142044541,0.5414040430127584,0->1,False,True,fixed_error
3168,Photo: forrestmankins: Colorado camping. http://t.co/S0VgTkhW7V,deluge,617-BTOWN-BEATDOWN,0,0,1,0.4959187160041027,0.5482995907131968,0->1,True,False,new_error
3241,@accionempresa The U.S. Department of Commerce has been deluged the last two months with com... http://t.co/V1SFlLOWGh @gerenciatodos å¨,deluged,,0,0,1,0.46759355488023835,0.5198380713599905,0->1,True,False,new_error
3403,@shantaeskyy GM! I pray any attack of the enemy 2 derail ur destiny is blocked by the Lord &amp; that He floods ur life w/heavenly Blessings,derail, Road to the Billionaires Club,0,0,1,0.46587195725804936,0.5281607793594387,0->1,True,False,new_error
3406,@ModelBubbles GM! I pray any attack of the enemy 2 derail ur destiny is blocked by the Lord &amp; that He floods ur life w/heavenly Blessings,derail, Road to the Billionaires Club,0,0,1,0.46587195725804936,0.5281607793594387,0->1,True,False,new_error
3425,@GloriaVelez GM! I pray any attack of the enemy 2 derail ur destiny is blocked by the Lord &amp; that He floods ur life w/heavenly Blessings,derail, Road to the Billionaires Club,0,0,1,0.46587195725804936,0.5281607793594387,0->1,True,False,new_error
3445,@MzMandiLynn GM! I pray any attack of the enemy 2 derail ur destiny is blocked by the Lord &amp; that He floods ur life w/heavenly Blessings,derail, Road to the Billionaires Club,0,0,1,0.46587195725804936,0.5281607793594387,0->1,True,False,new_error
3463,@jozerphine LITERALLY JUST LOOK THAT UP! YEAH DERAILED AT SMITHSONIAN SO EVERYTHIGN IS SHUT DOWN FROM FEDERAL CENTER SW TO MCPHERSON,derailed,,1,0,1,0.4729885546301397,0.533504380106977,0->1,False,True,fixed_error
3464,Of what use exactly is the national Assembly? Honestly they are worthless. We are derailed.,derailed,"Kwara, Nigeria",0,0,1,0.4697788912799997,0.528623260572989,0->1,True,False,new_error
3484,So a train derailed and instead of me getting to work early like I would've I'm now late as fuck,derailed,DC,1,0,1,0.44071923824178094,0.5046167419593802,0->1,False,True,fixed_error
3567,If the Taken movies took place in India 2 (Vine by @JusReign) https://t.co/hxM8C8e33D,desolate,,0,0,1,0.4925194304804893,0.5458487490530505,0->1,True,False,new_error
3663,Watch These Super Strong Magnets Destroy Everyday Objects: http://t.co/bTUs5jejuy http://t.co/zrTfxLuk6R,destroy,New York City,1,0,1,0.4978379940994576,0.5515130983520617,0->1,False,True,fixed_error
3819,@BldrCOSheriff says 2nd grenade found is 'younger' that WWII era grenade found earlier. They'll detonate it at 8:00 tonight. @CBSDenver,detonate,Colorado,1,0,1,0.4504448241882307,0.5042036888972223,0->1,False,True,fixed_error
3827,Apollo Brown ÛÒ Detonate f. M.O.P. http://t.co/Jn8S0DrWbP #HHBU,detonate,,0,0,1,0.4367324426979522,0.5016486309032644,0->1,True,False,new_error
3848,Ignition Knock (Detonation) Sensor-Senso Standard fits 03-08 Mazda 6 3.0L-V6 http://t.co/c8UXkIzwM6 http://t.co/SNxgH9R16u,detonation,,0,0,1,0.4476623995444847,0.5055916256038545,0->1,True,False,new_error
3849,Ignition Knock (Detonation) Sensor Connector-Connecto MOTORCRAFT WPT-994 http://t.co/h2aHxpCH0Y http://t.co/VQ3Vwxj8YU,detonation,,0,0,1,0.45918125143668015,0.5170318585707862,0->1,True,False,new_error
3892,Ignition Knock (Detonation) Sensor Connector-Connecto Dorman 917-141 http://t.co/rfJZexQgxt http://t.co/WQGsmiOiMx,detonation,,0,0,1,0.46995589829120543,0.5274231198935626,0->1,True,False,new_error
3903,Zayn Malik &amp; Perrie Edwards End Engagement: SheÛªs Û÷DevastatedÛª http://t.co/GedOxSPpL9 http://t.co/ACZRUOrYtD,devastated,,1,0,1,0.49904394562396115,0.5479596358487319,0->1,False,True,fixed_error
3969,We haven't seen the devastation from the 2014 Corp. Breaches yet Be Prepared! Get Coverage!: http://t.co/eK6KYHxPE9 http://t.co/Yn6NxOucR1,devastation,"Las Vegas, Nevada",0,0,1,0.48676036544267287,0.5430181332533335,0->1,True,False,new_error
4012,beautiful disaster https://t.co/qm5Sz0fyU8,disaster,en el pais de los arrechos,0,0,1,0.47572152802337314,0.5368008398210666,0->1,True,False,new_error
4664,just got engulfed in a car-induced tidal wave on my run... I thought this only happened in the movies ????,engulfed,"Fleet/Oxford, UK",0,0,1,0.4588262810189382,0.5135812871239757,0->1,True,False,new_error
4732,The EFAK would be designed for building occupants once they evacuate and report to their evacuation assembly sites,evacuate,"Chevy Chase, MD",1,0,1,0.4822085365347792,0.5416754023302833,0->1,False,True,fixed_error
4981,Aspiring musician &amp; song writer shares her talent at the GMMBC Youth Explosion on this past Saturday. http://t.co/OmjMTU9kFG,explosion,,0,0,1,0.4492046330900705,0.503726394522146,0->1,True,False,new_error
5114,Roger Goodell's Fatal Mistake: Tom Brady An Innocent Man http://t.co/UCNcKrnLow,fatal,"Wood Buffalo, Alberta",0,0,1,0.45083152730563314,0.5020176660243633,0->1,True,False,new_error
5200,Las Vegas in top 5 cities for red-light running fatalities http://t.co/kC8O81BcHG,fatalities,USA,1,0,1,0.460420977632618,0.5108113884464676,0->1,False,True,fixed_error
5458,As firefighters make gains on #RockyFire Jerry Brown is heading to the area to meet with first responders tomorrow morning,first%20responders,"Sacramento, CA",1,0,1,0.4746906504421361,0.5380823556048221,0->1,False,True,fixed_error
5625,#Laos flooding -10 villages underwater World Vision responding http://t.co/8fvQRizOUX,flooding,Jakarta/Kuala Lumpur/S'pore,1,0,1,0.4781504298929503,0.5302122111529127,0->1,False,True,fixed_error
5719,@Sweet2Young -runs at her for setting my forest on fire and bites the shit out of her neck-,forest%20fire,,1,0,1,0.4850099654004476,0.5453021737722427,0->1,False,True,fixed_error
5953,Davis's Drug Guide for Nurses by Judith Hopfer Deglin and April Hazard Vallerand http://t.co/IufS7UV1HK http://t.co/AFrHnLLY8D,hazard,,0,0,1,0.47137937653871026,0.5192495290699205,0->1,True,False,new_error
5997,#what #tribal Olap #world pres: http://t.co/Jw6FNnsSxT How To Recognize A Hazardous Waste And The Multidimensi http://t.co/4zAzTB19qE,hazardous,,0,0,1,0.4587158468006027,0.5186276264667673,0->1,True,False,new_error
6050,@hollywarnexx mini heat wave apaz,heat%20wave,"Crayford, London",1,0,1,0.46162033448498724,0.5189328223324248,0->1,False,True,fixed_error
6292,Egyptian Militants Tied to ISIS Threaten to Kill Croatian Hostage (New York Times) http://t.co/GTXndnJRrl (1717 GMT),hostage,,1,0,1,0.4482894027161139,0.5046028575298289,0->1,False,True,fixed_error
6347,Render assistance gain as proxy for your hostages to fortune: sSu http://t.co/KS7Ln8HQ8s,hostages,,0,0,1,0.46813189619299206,0.5238249946904338,0->1,True,False,new_error
6420,@pattonoswalt @FoxNews Wait I thought Fecal Hurricane was on SciFi? Maybe that was turdnado. I've been forgeting up a shit storm lately.,hurricane,,1,0,1,0.49479114182122896,0.5564987623494402,0->1,False,True,fixed_error
6542,@NEPD_Loyko Texans hope you are wrong. Radio in Houston have him as starter after Foster injury,injury,"Houston, TX",0,0,1,0.464350640209588,0.5212874318355005,0->1,True,False,new_error
6709,I may have gotten a little too exited over my (home made) lava lamp. Through source http://t.co/nxTTd9NrUx http://t.co/iRQj3ZKCUz,lava,,0,0,1,0.4663441567818278,0.5285406855115261,0->1,True,False,new_error
6759,Phones Offers &gt;&gt; http://t.co/bYtbZ8s5ux #034 8-Pin Lightning Connector 2.1A Car Charger For Apple 5 5S 5C 6 6+ iPÛ_ http://t.co/o3wVScLiCX,lightning,USA,0,0,1,0.470077189707692,0.5260331065166162,0->1,True,False,new_error
6854,The media needs to stop publicizing mass murder. So many sick people do these things for the eyes of the world &amp; the media is not helping.,mass%20murder,New Sweden,1,0,1,0.4753826162084852,0.5471722577115682,0->1,False,True,fixed_error
6885,@JakeGint the mass murder got her hot and bothered but at heart she was always a traditionalist.,mass%20murder,,1,0,1,0.4478752843485133,0.5166413973058409,0->1,False,True,fixed_error
6896,Okay not sure the word 'mass murder' applies during this war but it was horrendous none the less. https://t.co/Sb3rjQqzIX,mass%20murder,"Huntsville, AL",1,0,1,0.4645836545679682,0.5333109397622969,0->1,False,True,fixed_error
7229,We have overrun a Natural Disaster Survival server!,natural%20disaster,"Suburban Detroit, Michigan",1,0,1,0.4856233998228822,0.5402471144588933,0->1,False,True,fixed_error
7617,Element of Freedom at Mirage Saturday! 21+ Ladies Free Before Midnight!' http://t.co/7hAnPcr5rK,pandemonium,"Durham, NC",0,0,1,0.4654396739343686,0.5160116618762705,0->1,True,False,new_error
7635,Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) http://t.co/8j4rdwyjWu http://t.co/9MkZPZfKL2,pandemonium,,0,0,1,0.46849721328888333,0.5229846812432507,0->1,True,False,new_error
7753,Police unions retard justice &amp; drain gov $ but cops vote 4 Rs so Rs go after teachers unions instead! @DCCC @VJ44 @Lawrence @JBouie @mmfa,police,,0,0,1,0.46841763163101824,0.528064663104932,0->1,True,False,new_error
8154,I have an unexplainable desire to watch The Rescuers. #childhooddefined,rescuers,,0,0,1,0.4900587869816755,0.5470548483190831,0->1,True,False,new_error
8289,AM `bbcnews The Ass British Insurers says rioting will cost insurers163;millions. But police numbers are reduced by blind fat controllers.,rioting,A little house in the outback.,1,0,1,0.4597348234079438,0.5183576205083753,0->1,False,True,fixed_error
